Was kann ich wiederholen?
Welche Einheit/Thema kann ich noch einmal durchgehen?
Könnte ich noch einmal durch eine bestimmte Einheit/Modul gehen?
Ist es möglich, dass ich ein Thema noch einmal wiederhole?
Welche Einheit/Thema sollte ich noch einmal durchgehen?
Könnten Sie mir sagen, welche Einheit/Modul ich noch einmal durchgehen kann?
Gibt es ein Thema, das ich wiederholen kann?
Wo kann ich eine Einheit/Thema noch einmal durchgehen?
Kann ich eine Einheit/Modul noch einmal durchgehen?
Welche Einheit/Thema kann ich erneut bearbeiten?
Wo finde ich eine Einheit/Modul, das ich wiederholen kann?
Welche Themen kann ich erneut durchgehen?
In welchen Einheiten kann ich eine Wiederholung machen?
Welche Module sind verfügbar, um nochmal zu üben?
Kannst du mir zeigen, welche Inhalte ich bereits abgeschlossen habe und welche ich wiederholen kann?
Wo finde ich die Lektionen, die ich wiederholen möchte?
Kann ich die vorherigen Einheiten erneut besuchen?
Welche Themen sind verfügbar, um erneut zu durchlaufen?
Ich möchte bestimmte Teile der Lektionen wiederholen, welche Optionen habe ich?
Gibt es eine Möglichkeit, das vorherige Modul nochmal durchzugehen?
Kannst du mir Vorschläge geben, welche Einheiten ich wiederholen sollte?
