Was sind deine Merkmale?; Help
Moin!; Greet
Hey!; Greet
Was ist der nächste Schwerpunkt im Lernprogramm?; GetNextModuleFrage
Was bist du in der Lage zu tun?; Help
Was genau bezeichnet man als Regression?; SearchForDefinition
Zeige mir bitte alle verfügbaren Ergebnisse, die meiner Suche entsprechen.; LoadMoreSearchResults
Wir hören uns später.; Bye
Kann ich eine Prüfungsvorbereitung zu diesem Thema machen?; RequestTest
Ich habe heute nur 30 Minuten; InformTimeConstraint
Auf Wiedersehen.; Bye
Wo finde ich Infos zu Regression?; SearchForContent
Welches Thema wird als nächstes behandelt?; GetNextModuleFrage
Welches Modul kommt als Nächstes dran?; GetNextModuleFrage
Gibt es noch weitere Einheiten, die ich noch nicht durchgearbeitet habe?; GetProgress
Kann ich meine Suche auf Bücher beschränken?; ChangeConfig
Welche Aufgaben kannst du übernehmen?; Help
Kann ich eine Einheit/Modul noch einmal durchgehen?; SuggestRepetition
Tag!; Greet
Welche Bücher oder Artikel behandeln das Thema Regression?; SearchForContent
Welche anderen Themen sind verfügbar?; RequestAlternativeNextModule
Was ist die nächste Lektion?; GetNextModuleFrage
Was ist das nächste Modul?; GetNextModuleFrage
Ich würde gerne meine Suche erweitern. Kannst du mir dabei helfen?; LoadMoreSearchResults
Wo kann ich nützliche Ressourcen zur Regression finden?; SearchForContent
Modul abgeschlossen!; GetNextModule
Kann ich einen Test durchführen, um meine Stärken und Schwächen in diesem Thema zu identifizieren?; RequestTest
Ich möchte mich auf Bücher beschränken. Geht das?; ChangeConfig
Grüß dich!; Greet
Was sind meine Optionen für weitere Lerninhalte?; RequestAlternativeNextModule
Keineswegs.; No
Welche anderen Lernmöglichkeiten stehen mir zur Verfügung?; RequestAlternativeNextModule
Welches Thema steht als nächstes auf dem Plan?; GetNextModuleFrage
Was bedeutet der Begriff Regression in der Statistik?; SearchForDefinition
Ich habe mein aktuelles Modul abgeschlossen.; GetNextModule
Ich habe alle Aufgaben des Moduls abgeschlossen.; GetNextModule
Ich fürchte nein.; No
Kannst du mir nur Buchvorschläge geben?; ChangeConfig
Ich kann heute nur 30 Minuten lernen.; InformTimeConstraint
Gibt es noch andere Fortbildungen, die ich machen kann?; RequestAlternativeNextModule
Ich habe alles durchgearbeitet und bin nun fertig.; GetNextModule
Vielen Dank!; Thanks
Gibt es Online-Plattformen, auf denen ich Informationen zur Regression finden kann?; SearchForContent
Gibt es eine Option, nur Buchvorschläge zu erhalten?; ChangeConfig
Das ist falsch.; No
Ich strebe an, den Kurs in drei Monaten abzuschließen.; InformCompletionGoal
Ich möchte nur Bücher als Suchergebnisse sehen.; ChangeConfig
Ich bin heute auf 30 Minuten Lernzeit beschränkt.; InformTimeConstraint
Ich schätze das sehr!; Thanks
Bis bald!; Bye
Meine Deadline ist es, den Kurs in drei Monaten abzuschließen.; InformCompletionGoal
Was sind meine Optionen für weitere Lerninhalte?; RequestAlternativeNextModule
Gibt es noch andere Themen, die ich lernen kann?; RequestAlternativeNextModule
Könntest du mir bitte noch mehr relevante Resultate präsentieren?; LoadMoreSearchResults
Aloha!; Greet
Kannst du mir dabei helfen, nur Bücher zu finden?; ChangeConfig
Ich will in drei Monaten fertig sein.; InformCompletionGoal
Zeig mir bitte alle weiteren relevanten Ergebnisse.; LoadMoreSearchResults
Gibt es ein Thema, das ich wiederholen kann?; SuggestRepetition
Was steht als nächstes auf meinem Lernplan?; GetNextModuleFrage
Wo gibt es noch Raum für Verbesserungen?; SuggestImprovement
Wo kann ich mehr über die Anwendung der Regression in der Datenanalyse erfahren?; SearchForContent
Gibt es ein Modul, das ich innerhalb von 30 Minuten abschließen kann?; InformTimeConstraint
Mach's gut.; Bye
Welches Thema kommt nach diesem Modul dran?; GetNextModuleFrage
Wo liegen meine Schwachstellen und wie kann ich sie verbessern?; SuggestImprovement
In welchen Einheiten kann ich eine Wiederholung machen?; SuggestRepetition
Wo kann ich mich über die Anwendung der Regression in der Praxis informieren?; SearchForContent
Ich brauche weitere Ergebnisse zu meinem Thema. Kannst du mir helfen?; LoadMoreSearchResults
Welche Themen sollten noch vertieft werden?; SuggestImprovement
Ist das alles, was ich lernen kann?; RequestAlternativeNextModule
Welche Lerninhalte müssen noch bearbeitet werden?; SuggestImprovement
Kannst du mir sagen, was du kannst?; Help
Könnte ich noch einmal durch eine bestimmte Einheit/Modul gehen?; SuggestRepetition
Ich hätte gerne Zugriff auf alle relevanten Ergebnisse, die mit meiner Suche übereinstimmen.; LoadMoreSearchResults
Könntest du bitte kurz beschreiben, was man unter Regression versteht?; SearchForDefinition
Was kann ich in einer halben Stunde lernen?; InformTimeConstraint
Tschüssi!; Bye
Super, danke!; Thanks
Ich möchte den Kurs innerhalb von drei Monaten fertigstellen.; InformCompletionGoal
Schön, dich zu sehen!; Greet
Könntest du mir bitte weitere Suchergebnisse präsentieren?; LoadMoreSearchResults
Kannst du mir sagen, was du tun kannst?; Help
Ja, das stimmt.; Yes
Mein Wunsch ist es, in drei Monaten mit dem Kurs durchzukommen.; InformCompletionGoal
Ich brauche eine kurze Definition von Regression. Kannst du mir weiterhelfen?; SearchForDefinition
