In welchem Bereich sollte ich noch einmal meine Fähigkeiten verbessern?; SuggestRepetition
Was gibt es noch, was ich erforschen kann?; RequestAlternativeNextModule
Hey, schön dich zu treffen!; Greet
Unbedingt.; Yes
Bitte gib mir nur Buchquellen.; ChangeConfig
Ja, das trifft zu.; Yes
Ich möchte mich jetzt auf Bücher beschränken.; ChangeConfig
Ich bin dann mal weg!; Bye
Gibt es noch andere Module, die ich absolvieren kann?; RequestAlternativeNextModule
Das aktuelle Kapitel wurde von mir erfolgreich abgeschlossen.; GetNextModule
Bis zum nächsten Mal.; Bye
Ich muss in 30 Minuten fertig sein, welche Module sind kurz genug, um in dieser Zeit abgeschlossen zu werden?; InformTimeConstraint
Wie geht man mit Ausreißern in der Regression um?; SearchForContent
Was gibt es Neues bei dir?; Greet
Was sind deine Stärken?; Help
Was ist Regression?; SearchForDefinition
Kannst du mir assistieren?; Help
Was kann ich mit dir machen?; Help
Was sollte ich als Nächstes in Angriff nehmen?; GetNextModuleFrage
Mein Ziel ist es, den Kurs in drei Monaten abzuschließen.; InformCompletionGoal
Exakt das, was ich meine.; Yes
Wie weit reichen deine Fähigkeiten?; Help
Herzlichen Dank!; Thanks
Wie viele Module gibt es?; GetProgress
Wie geht's dir heute?; Greet
Wo sehe ich noch Verbesserungspotenzial?; SuggestImprovement
Habe Schwierigkeiten, kannst du mich unterstützen?; Help
Deine Hilfe bedeutet mir sehr viel, danke!; Thanks
Wo finde ich Online-Übungen zur Regression?; SearchForContent
Bitte schlage mir nur Buchquellen als Suchergebnisse vor.; ChangeConfig
Welche Themen sind in nur 30 Minuten erlernbar?; InformTimeConstraint
Hey, was hast du heute gemacht?; Greet
Welche Themen sollte ich nochmal bearbeiten?; SuggestRepetition
Ich will mich nur auf Buchquellen konzentrieren.; ChangeConfig
Nicht möglich.; No
Ganz meine Rede.; Yes
Gibt es ein Thema, das ich in kurzer Zeit verstehen kann?; InformTimeConstraint
So ist es und nicht anders.; Yes
Brauche Unterstützung!; Help
Ich hätte gerne eine Buch-spezifische Suche.; ChangeConfig
Wo habe ich noch Defizite?; SuggestImprovement
Ich brauche noch mehr Ergebnisse, um meine Suche zu vervollständigen.; LoadMoreSearchResults
Wo kann ich Grundlagen von Regression finden?; SearchForContent
Bitte beschränke die Suche auf Bücher.; ChangeConfig
Ich möchte den Kurs spätestens in drei Monaten abschließen.; InformCompletionGoal
Wo kann ich meine Fertigkeiten noch verbessern?; SuggestImprovement
Schöne Zeit noch!; Bye
Ich habe alle Aufgaben in diesem Modul erfolgreich abgeschlossen.; GetNextModule
Was kann ich noch einmal wiederholen?; SuggestRepetition
Ich bin nur an Buchquellen interessiert.; ChangeConfig
Was sind die Lernmodule, die ich wiederholen kann?; SuggestRepetition
Bis später.; Bye
Falsch.; No
Welche Funktionen stehen mir zur Verfügung?; Help
So sehe ich das auch.; Yes
Das ist sehr hilfreich, danke!; Thanks
Was kann ich tun, um in einer kurzen Zeitspanne Fortschritte zu machen?; InformTimeConstraint
Ja, das stimmt.; Yes
Ich brauche mehr Informationen. Kannst du mir bitte weitere Ergebnisse zeigen?; LoadMoreSearchResults
Auf Wiedersehen!; Bye
Jawohl.; Yes
Wie viele Lernabschnitte muss ich noch durchgehen?; GetProgress
Ich möchte den Kurs in drei Monaten durchlaufen haben.; InformCompletionGoal
Eindeutig.; Yes
Kannst du mir noch weitere relevante Suchergebnisse zeigen?; LoadMoreSearchResults
Bis später!; Bye
Kann ich noch einmal durch einen bestimmten Abschnitt gehen?; SuggestRepetition
