Mach's gut.; Bye
Bis später!; Bye
Ich verabschiede mich für jetzt!; Bye
Ich muss los.; Bye
Tschööö!; Bye
Bis zum nächsten Mal!; Bye
Bis bald.; Bye
Wir hören voneinander!; Bye
Schönen Abend noch.; Bye
Bis bald und alles Gute!; Bye
Auf Wiederhören.; Bye
Ich bin dann mal weg!; Bye
Wir sehen uns später.; Bye
Wir hören uns!; Bye
Wir sprechen uns bald wieder.; Bye
Bis zum nächsten Gespräch!; Bye
Tschau!; Bye
Bis dann.; Bye
Ciao!; Bye
Tschö.; Bye
Wir hören voneinander.; Bye
Wir sehen uns später wieder.; Bye
Auf Wiedersehen.; Bye
Wir sehen uns bald wieder!; Bye
Bis später.; Bye
Wir sprechen uns bald wieder!; Bye
Bis bald!; Bye
Ich muss jetzt gehen.; Bye
Bis zum nächsten Gespräch.; Bye
Es war schön, mit dir zu sprechen.; Bye
Auf Wiedersehen!; Bye
Servus.; Bye
Ich melde mich später wieder.; Bye
Einen schönen Tag dir noch.; Bye
Schönen Abend noch!; Bye
Bis später dann.; Bye
Auf Wiederhören!; Bye
Wir sehen uns bald wieder.; Bye
Ich verabschiede mich.; Bye
Wir hören uns wieder.; Bye
Wir hören uns später.; Bye
Pass auf dich auf.; Bye
Schönen Tag noch.; Bye
Ich bevorzuge Buchempfehlungen.; ChangeConfig
Bitte schlage mir nur Bücher zum Lesen vor.; ChangeConfig
Ich bin nur an Buchquellen interessiert.; ChangeConfig
Ich möchte mich jetzt auf Bücher beschränken.; ChangeConfig
Gibt es eine Möglichkeit, nur nach Büchern zu suchen?; ChangeConfig
Ich möchte mich nur auf Buchempfehlungen konzentrieren.; ChangeConfig
Kannst du mich auf Bücher spezialisieren?; ChangeConfig
Gibt es eine Option, nur nach Büchern zu suchen?; ChangeConfig
Bitte gib mir nur Buchquellen.; ChangeConfig
Kannst du mir ausschließlich Buchvorschläge geben?; ChangeConfig
Ich bevorzuge es, mich auf Bücher zu beschränken.; ChangeConfig
Gibt es eine Option, nur Bücher zu suchen?; ChangeConfig
Ich bevorzuge es, mich nur auf Bücher zu konzentrieren.; ChangeConfig
Könntest du mir nur Buchempfehlungen geben?; ChangeConfig
Können wir die Suche auf Buchquellen eingrenzen?; ChangeConfig
Kannst du mir nur Buchvorschläge geben?; ChangeConfig
Ich will mich nur auf Bücher konzentrieren.; ChangeConfig
Ich interessiere mich nur für Bücher.; ChangeConfig
Ich will nur nach Büchern suchen.; ChangeConfig
Kannst du mir nur Buchressourcen empfehlen?; ChangeConfig
Gibt es eine Möglichkeit, nur Buchquellen zu haben?; ChangeConfig
Ich hätte gerne eine Buch-spezifische Suche.; ChangeConfig
Ich möchte mich auf Bücher beschränken.; ChangeConfig
Lass mich nur Bücher finden, bitte.; ChangeConfig
Bitte filtere die Ergebnisse, damit ich nur Bücher sehe.; ChangeConfig
Ich will jetzt nur Bücher.; ChangeConfig
Kannst du meine Suche auf Bücher beschränken?; ChangeConfig
Ich möchte nur Buchempfehlungen bekommen.; ChangeConfig
Könnten Sie mir nur Buch-spezifische Informationen geben?; ChangeConfig
Bitte schlage mir nur Buchquellen zum Lesen vor.; ChangeConfig
Bitte filtere die Ergebnisse, um nur Bücher anzuzeigen.; ChangeConfig
Ich bevorzuge es, nur Buchquellen zu haben.; ChangeConfig
Bitte beschränke die Suche auf Bücher.; ChangeConfig
Kann ich nur Buchempfehlungen bekommen?; ChangeConfig
Ich würde gerne nur Buchempfehlungen bekommen.; ChangeConfig
Bitte schlage mir nur Buchquellen als Suchergebnisse vor.; ChangeConfig
Ich bin nur an Büchern interessiert.; ChangeConfig
Lass mich nur Buchressourcen finden.; ChangeConfig
Ich will nur Buch-Ergebnisse sehen.; ChangeConfig
Könntest du mir ausschließlich Buchempfehlungen geben?; ChangeConfig
Ich möchte nur Bücher als Suchergebnisse bekommen.; ChangeConfig
Könntest du meine Suche auf Bücher beschränken?; ChangeConfig
Ich würde gerne nur Buchvorschläge bekommen.; ChangeConfig
Gibt es eine Möglichkeit, nur Bücher als Suchquelle zu haben?; ChangeConfig
Ich will nur Buchergebnisse sehen.; ChangeConfig
Bitte schlage mir nur Bücher als Suchergebnisse vor.; ChangeConfig
Ich möchte nur Bücher als Suchergebnisse sehen.; ChangeConfig
Kannst du meine Suche auf Buchquellen beschränken?; ChangeConfig
Ich bevorzuge es, mich auf Bücher zu konzentrieren.; ChangeConfig
Können wir die Suche auf Bücher eingrenzen?; ChangeConfig
Ich bin nur an Büchern interessiert, kannst du mir helfen?; ChangeConfig
Bitte filtere die Suchergebnisse auf Bücher.; ChangeConfig
Gibt es eine Option, nur Buchressourcen zu durchsuchen?; ChangeConfig
Ich bin nun mit allen Aufgaben dieses Moduls durch.; GetNextModule
Ich habe alle Lernziele in diesem Modul erreicht und bin nun fertig.; GetNextModule
Ich habe alle Übungen in diesem Modul erfolgreich abgeschlossen.; GetNextModule
Ich habe alle Lernziele in diesem Modul erreicht.; GetNextModule
Ich habe alle Themen in diesem Modul vollständig verinnerlicht.; GetNextModule
Die Bearbeitung des Moduls ist für mich abgeschlossen.; GetNextModule
Das aktuelle Kapitel ist nun für mich beendet.; GetNextModule
Ich habe alle Aufgaben und Lernziele in diesem Modul erreicht.; GetNextModule
Ich habe alle notwendigen Schritte in diesem Modul absolviert.; GetNextModule
Ich habe alle Fragen in diesem Modul richtig beantwortet.; GetNextModule
Ich habe alle Aufgaben in diesem Modul korrekt gelöst.; GetNextModule
Ich habe alle Anforderungen des Moduls vollständig erfüllt.; GetNextModule
Ich habe alle Übungen und Aufgaben des Moduls erfolgreich absolviert.; GetNextModule
Ich habe alle Inhalte des Moduls vollständig verstanden.; GetNextModule
Ich habe nun alle Kapitel und Themen des Moduls abgeschlossen.; GetNextModule
Ich habe alle Aufgaben in diesem Modul erfolgreich gemeistert.; GetNextModule
Ich habe alle Lernziele des Moduls erfolgreich erreicht.; GetNextModule
Ich habe alle Lektionen durchgearbeitet und bin nun fertig.; GetNextModule
Das aktuelle Kapitel wurde von mir abgeschlossen.; GetNextModule
Ich habe alle Anforderungen des Moduls erfolgreich gemeistert.; GetNextModule
Ich habe alle Testfragen in diesem Modul korrekt beantwortet.; GetNextModule
Ich habe alle Anweisungen des Moduls erfolgreich befolgt.; GetNextModule
Ich habe alle Aufgaben in diesem Modul erfolgreich bearbeitet.; GetNextModule
Ich habe alle Abschnitte des Moduls erfolgreich abgeschlossen.; GetNextModule
Ich bin mit allen Anforderungen in diesem Modul fertig geworden.; GetNextModule
Ich habe alle Aufgaben in diesem Modul erfolgreich abgeschlossen.; GetNextModule
Ich habe alle Aufgaben erfolgreich erledigt.; GetNextModule
Ich habe alle Lektionen des Moduls erfolgreich abgeschlossen.; GetNextModule
Das aktuelle Modul ist für mich nun abgeschlossen.; GetNextModule
Ich habe alle Anforderungen dieses Moduls erfolgreich erfüllt.; GetNextModule
Ich habe alle erforderlichen Schritte in diesem Modul erledigt.; GetNextModule
Ich bin nun mit der Bearbeitung dieses Moduls fertig.; GetNextModule
Ich habe alle erforderlichen Schritte in diesem Modul abgeschlossen.; GetNextModule
Ich habe alle Aufgaben und Übungen in diesem Modul erfolgreich erledigt.; GetNextModule
Ich bin mit diesem Kapitel nun durch.; GetNextModule
Ich habe alle Testfragen in diesem Modul richtig beantwortet.; GetNextModule
Ich habe das Modul vollständig bearbeitet.; GetNextModule
Ich habe das Modul vollständig bearbeitet und abgeschlossen.; GetNextModule
Ich habe alle Lektionen und Aufgaben des Moduls durchgearbeitet.; GetNextModule
Ich bin jetzt fertig.; GetNextModule
Welches Thema ist als Nächstes dran?; GetNextModuleFrage
Was kommt als nächstes dran?; GetNextModuleFrage
Welches Modul folgt als nächstes?; GetNextModuleFrage
Was ist der nächste Abschnitt in meinem Lernprozess?; GetNextModuleFrage
Was gibt es noch zu lernen?; GetNextModuleFrage
Was kann ich als nächstes erwarten?; GetNextModuleFrage
Welches Wissen ist als nächstes dran?; GetNextModuleFrage
Welches Thema sollte ich als nächstes angehen?; GetNextModuleFrage
Was wird als nächstes behandelt?; GetNextModuleFrage
Was ist die nächste Lektion auf meiner Lernliste?; GetNextModuleFrage
Was kann ich als nächstes in Angriff nehmen?; GetNextModuleFrage
Was steht als nächstes auf meiner Lernagenda?; GetNextModuleFrage
Welches Thema ist als nächstes fällig?; GetNextModuleFrage
Was wäre als Nächstes auf meiner Lernliste?; GetNextModuleFrage
